ENSEMBL	symbol	WikiGene	Uniprot/SWISSPROT
YDL207W	GLE1	GLE1|851320	Q12315
YOR167C	RPS28A	854338|RPS28A	Q3E7X9
YGR295C	COS6	COS6|853212	P53344
YDR377W	ATP17	851983|ATP17	Q06405
YKL106C-A	null	853754|YKL106C-A	Q3E7A0
tL(CAA)G2	SUP54	null	null
YNL227C	JJJ1	JJJ1|855495	P53863
YKL103C	LAP4	853758|LAP4	P14904
YMR239C	RNT1	855280|RNT1	Q02555
tX(XXX)D	null	null	null
YPR088C	SRP54	SRP54|856203	P20424
YHR206W	SKN7	SKN7|856613	P38889
YGR135W	PRE9	PRE9|853036	P23638
YPL036W	PMA2	856071|PMA2	P19657
YJR095W	SFC1	853558|SFC1	P33303
YBR147W	RTC2	RTC2|852444	P38279
YBL016W	FUS3	852265|FUS3	P16892
snR55	null	null	null
YKL114C	APN1	853746|APN1	P22936
YJL013C	MAD3	MAD3|853439	P47074
tK(UUU)D	null	null	null
YEL040W	UTR2	856671|UTR2	P32623
YNR012W	URK1	855746|URK1	P27515
YMR323W	ERR3	855373|ERR3	P42222
YJR057W	CDC8	CDC8|853520	P00572
YDL213C	NOP6	851313|NOP6	Q07623
YEL008C-A	null	null	Q8TGP3
YML093W	UTP14	UTP14|854881	Q04500
YBL084C	CDC27	852194|CDC27	P38042
YDR052C	DBF4	851623|DBF4	P32325
YJR030C	null	YJR030C|853487	P47101
YIR038C	GTT1	854856|GTT1	P40582
YBL108C-A	PAU9	PAU9|852163	null
YNL194C	null	855527|YNL194C	P40169
YDL034W	null	null	Q12448
YOR206W	NOC2	NOC2|854381	P39744
YOL066C	RIB2	RIB2|854088	Q12362
YKR012C	null	null	P36109
YKR097W	PCK1	PCK1|853972	P10963
YLR181C	VTA1	850878|VTA1	Q06263
YHL006C	SHU1	856383|SHU1	P38751
YIR016W	null	YIR016W|854833	P40572
YLR154W-E	null	null	Q8TGM5
YMR050C	null	855070|YMR050C	Q04670
YGL088W	null	null	P53151
YCR075W-A	null	YCR075W-A|1466399	Q3E830
YMR029C	FAR8	FAR8|855044	Q05040
YLR265C	NEJ1	NEJ1|850970	Q06148
YAR073W	IMD1	null	P39567
YJR127C	RSF2	853592|RSF2	P46974
YFR032C	RRT5	RRT5|850591	P43607
YGR059W	SPR3	SPR3|852950	P41901
YIL177W-A	null	null	P0CL42|P0CL41
YNL004W	HRB1	855728|HRB1	P38922
YGR276C	RNH70	853193|RNH70	P53331
YJR151C	DAN4	853616|DAN4	P47179
YJR089W	BIR1	BIR1|853551	P47134
YPR002W	PDH1	856108|PDH1	Q12428
YPR197C	null	null	null
YIL122W	POG1	854684|POG1	P40473
YLR467C-A	null	null	P0CL40|P0CL39|P0CL38|P0CL37
YHR028C	DAP2	DAP2|856423	P18962
YPL010W	RET3	RET3|856097	P53600
YBR258C	SHG1	SHG1|852561	P38337
YDR451C	YHP1	852062|YHP1	Q04116
YNL056W	OCA2	OCA2|855668	P53949
YEL076C-A	null	YLR464W|YEL076C-A|851185|856632	P0CX17|P0CX16
YGL068W	MNP1	852811|MNP1	P53163
YGR237C	null	853152|YGR237C	P50089
YER140W	null	YER140W|856883	P40085
YOR300W	null	null	Q08756
YPL116W	HOS3	855987|HOS3	Q02959
YKL054C	DEF1	853811|DEF1	P35732
YLR380W	CSR1	CSR1|851096	Q06705
tR(UCU)J2	null	null	null
YNL295W	null	855421|YNL295W	P48564
YIL037C	PRM2	PRM2|854774	P40534
YOR339C	UBC11	854517|UBC11	P52492
YDR237W	MRPL7	851823|MRPL7	P36519
YLR383W	SMC6	SMC6|851099	Q12749
YDR306C	null	851900|YDR306C	Q06640
YKL191W	DPH2	DPH2|853643	P32461
YLR351C	NIT3	851065|NIT3	P49954
YNL172W	APC1	855549|APC1	P53886
YHL035C	VMR1	856350|VMR1	P38735
YCL019W	null	YCL019W|850340	P25384
YPL225W	null	YPL225W|855876	Q08971
YDR046C	BAP3	851616|BAP3	P41815
YMR078C	CTF18	855102|CTF18	P49956
YOR090C	PTC5	PTC5|854257	Q12511
YKL068W-A	null	1500487|YKL068W-A	Q3E826
YDL059C	RAD59	851500|RAD59	Q12223
YML125C	PGA3	854914|PGA3	Q12746
YOR333C	null	null	Q08789
YBR083W	TEC1	TEC1|852377	P18412
YHR181W	SVP26	SVP26|856587	P38869
YLR248W	RCK2	850950|RCK2	P38623
YBR090C	null	YBR090C|852387	P38253
YBR298C	MAL31	852601|MAL31	P15685|P38156
YEL027W	VMA3	VMA3|856686	P25515
YAR027W	UIP3	UIP3|851279	P39547
YML058W-A	HUG1	854944|HUG1	Q6Q5K6
YOL024W	null	YOL024W|854134	Q08172
YPR171W	BSP1	856301|BSP1	Q06604
YJL196C	ELO1	ELO1|853243	P39540
snR68	null	null	null
YNL252C	MRPL17	MRPL17|855469	P36528
YGL261C	PAU11	PAU9|PAU8|PAU11|851229|852163|852630	Q3E770|P0CE93|P0CE92
YGL228W	SHE10	852623|SHE10	P53075
YCR101C	null	YCR101C|850465	P25607
YHR142W	CHS7	CHS7|856545	P38843
YDL006W	PTC1	851558|PTC1	P35182
tE(UUC)I	null	null	null
YNL277W	MET2	MET2|855444	P08465
YHR059W	FYV4	FYV4|856456	P38783
YBR284W	null	YBR284W|852587	P38150
YGR098C	ESP1	852990|ESP1	Q03018
tC(GCA)G	null	null	null
YHR127W	null	856528|YHR127W	P38833
YOL101C	IZH4	854052|IZH4	Q99393
YDL091C	UBX3	851467|UBX3	Q12229
YIL134C-A	null	1466491|YIL134C-A	Q45U18
YGR146C	ECL1	ECL1|853049	P48235
YJL087C	TRL1	853358|TRL1	P09880
YAL014C	SYN8	SYN8|851219	P31377
YPL136W	null	null	O13519
YBR237W	PRP5	PRP5|852539	P21372
tV(AAC)G3	null	null	null
YKR102W	FLO10	853977|FLO10	P36170
YGR112W	SHY1	853009|SHY1	P53266
YKL006C-A	SFT1	SFT1|853863	P43682
YPR003C	null	YPR003C|856111	P53394
YIL137C	TMA108	854669|TMA108	P40462
YLR264W	RPS28B	850969|RPS28B	P0C0X0
YBR211C	AME1	852512|AME1	P38313
YMR227C	TAF7	855267|TAF7	Q05021
YPR058W	YMC1	856171|YMC1	P32331
YJR101W	RSM26	RSM26|853565	P47141
YJL034W	KAR2	KAR2|853418	P16474
YOL003C	PFA4	854159|PFA4	Q12006
YOR023C	AHC1	854188|AHC1	Q12433
YGR041W	BUD9	852932|BUD9	P53226
YJR039W	null	853495|YJR039W	P47107
YAL016W	TPD3	851217|TPD3	P31383
YIL079C	AIR1	AIR1|854731	P40507
YOR113W	AZF1	854280|AZF1	P41696
YPR006C	ICL2	ICL2|856114	Q12031
YGR195W	SKI6	SKI6|853109	P46948
YML078W	CPR3	CPR3|854897	P25719
YDL045C	FAD1	851516|FAD1	P38913
YLL039C	UBI4	850620|UBI4	P0CG63
YDR095C	null	null	Q03831
YIR026C	YVH1	854844|YVH1	Q02256
YCL058W-A	ADF1	ADF1|3289591	Q2V2Q1
YIL089W	null	YIL089W|854719	P40500
YOR259C	RPT4	RPT4|854433	P53549
YOR297C	TIM18	854472|TIM18	Q08749
YGL076C	RPL7A	RPL7A|852804	P05737
YBR027C	null	null	P38220
YDR388W	RVS167	851996|RVS167	P39743
YML104C	MDM1	854867|MDM1	Q01846
YGR147C	NAT2	NAT2|853050	P37293
YFL044C	OTU1	850500|OTU1	P43558
YOR368W	RAD17	RAD17|854550	P48581
YLR162W	null	850859|YLR162W	Q06235
YER119C-A	null	null	P87191
YBR056C-B	null	null	P0C5L0
YNR028W	CPR8	855762|CPR8	P53728
YGL064C	MRH4	MRH4|852816	P53166
YNR056C	BIO5	BIO5|855793	P53744
YOR338W	null	854516|YOR338W	Q99326
YMR191W	SPG5	855229|SPG5	P42933
YNL327W	EGT2	EGT2|855389	P42835
YHR017W	YSC83	YSC83|856410	P32792
tE(UUC)G3	null	null	null
YML029W	USA1	854979|USA1	Q03714
YJR119C	JHD2	853583|JHD2	P47156
YDR340W	null	null	Q05503
YGR161C-C	null	855071|856907|YER159C-A|851913|YDR316W-A|YGR161C-C|YMR051C|853069	P0CX68|P0CX67|P0CX66|P0CX65|P0CX69
YIL177C	null	YIL177C|854630	P40434
YPR071W	null	YPR071W|856184	Q12346
YJR080C	AIM24	AIM24|853543	P47127
tV(CAC)H	null	null	null
YGR140W	CBF2	CBF2|853041	P32504
YKR074W	AIM29	AIM29|853949	P36154
YHR214C-E	null	YHR214C-E|1466535	Q8TGK0
YPR056W	TFB4	TFB4|856169	Q12004
YJL115W	ASF1	853327|ASF1	P32447
YER150W	SPI1	SPI1|856893	P40092
YGL089C	MF(ALPHA)2	MF(ALPHA)2|852791	P32435
YOR269W	PAC1	PAC1|854443	P39946
YLR263W	RED1	RED1|850968	P14291
YNL137C	NAM9	855585|NAM9	P27929
YKL093W	MBR1	MBR1|853769	P23493
YNL297C	MON2	MON2|855420	P48563
YMR132C	JLP2	JLP2|855162	P40206
tA(AGC)L	null	null	null
YCL034W	LSB5	850323|LSB5	P25369
YGR118W	RPS23A	RPS23A|RPS23B|856250|853015	P0CX30|P0CX29
YOL097W-A	null	1466475|YOL097W-A	Q3E7Y9
YOR004W	UTP23	UTP23|854165	Q12339
tR(UCU)D	null	null	null
YMR193C-A	null	null	Q6B0R2
YMR208W	ERG12	ERG12|855248	P07277
YOR060C	SLD7	YOR060C|854226	Q08457
tC(GCA)P1	null	null	null
YLR019W	PSR2	PSR2|850706	Q07949
YMR101C	SRT1	SRT1|855127	Q03175
YDR285W	ZIP1	851879|ZIP1	P31111
YDR154C	null	null	null
YMR306C-A	null	null	null
YLR373C	VID22	851088|VID22	Q05934
YEL032C-A	null	null	Q8TGP4
Q0105	COB	COB|854583	P00163
tN(GUU)N2	null	null	null
YLR399C	BDF1	851115|BDF1	P35817
YER055C	HIS1	856782|HIS1	P00498
YDR508C	GNP1	GNP1|852121	P48813
YBL088C	TEL1	TEL1|852190	P38110
YAL067W-A	null	YAL067W-A|1466426	Q8TGK6
YPL035C	null	null	O13521
YAL009W	SPO7	851224|SPO7	P18410
YNL278W	CAF120	855443|CAF120	P53836
YOR304W	ISW2	854480|ISW2	Q08773
YPL207W	TYW1	TYW1|855894	Q08960
YLR443W	ECM7	ECM7|851164	Q06200
YPR073C	LTP1	856187|LTP1	P40347
YJR113C	RSM7	853578|RSM7	P47150
YPL230W	USV1	855871|USV1	Q12132
YBL011W	SCT1	852271|SCT1	P32784
YGR199W	PMT6	PMT6|853113	P42934
YMR236W	TAF9	TAF9|855276	Q05027
YJR019C	TES1	TES1|853477	P41903
YBR048W	RPS11B	852337|851589|RPS11B|RPS11A	P0CX48|P0CX47
YOL116W	MSN1	854033|MSN1	P22148
YDR374W-A	null	YDR374W-A|3799971	Q2V2P8
YMR040W	YET2	YET2|855056	Q04210
YOR046C	DBP5	854211|DBP5	P20449
YLR140W	null	null	Q12077
YHR218W-A	null	YBL112C|852160	Q3E7Y4
YGR250C	null	YGR250C|853165	P53316
YGR125W	null	YGR125W|853026	P53273
YDR510C-A	null	null	Q8TGR7
YPR004C	AIM45	AIM45|856112	Q12480
YGL067W	NPY1	852813|NPY1	P53164
YPL274W	SAM3	SAM3|855854	Q08986
YGL201C	MCM6	MCM6|852673	P53091
YFL021C-A	null	null	null
YIR023W	DAL81	DAL81|854841	P21657
YGL031C	RPL24A	852852|RPL24A	P04449
YDR292C	SRP101	851886|SRP101	P32916
YJL101C	GSH1	GSH1|853344	P32477
YMR308C	PSE1	PSE1|855356	P32337
YFL021W	GAT1	850523|GAT1	P43574
YOR192C	THI72	THI72|854364	Q08579
YIL084C	SDS3	854725|SDS3	P40505
YIL002C	INP51	854815|INP51	P40559
YIL050W	PCL7	854761|PCL7	P40186
YPL156C	PRM4	855947|PRM4	Q12498
YDR014W	RAD61	851577|RAD61	Q99359
YGR057C	LST7	LST7|852948	P53237
YER102W	RPS8B	852206|856839|RPS8B|RPS8A	P0CX40|P0CX39
YLR399W-A	null	null	Q8TGM1
tH(GUG)E2	null	null	null
YDR152W	GIR2	851730|GIR2	Q03768
YGL078C	DBP3	852802|DBP3	P20447
YIL141W	null	null	P40461
YDR159W	SAC3	851737|SAC3	P46674
YGL047W	ALG13	852835|ALG13	P53178
YDL140C	RPO21	851415|RPO21	P04050
YPL098C	MGR2	MGR2|856006	Q02889
YDR179C	CSN9	CSN9|851759	Q03981
YPL002C	SNF8	SNF8|856105	Q12483
YGL226C-A	OST5	OST5|852625	Q92316
YLL022C	HIF1	850638|HIF1	Q12373
YDR475C	JIP4	JIP4|852086	Q03361
YOR056C	NOB1	NOB1|854221	Q08444
YPR009W	SUT2	SUT2|856118	Q12286
YDR477W	SNF1	SNF1|852088	P06782
YGR182C	null	null	P53300
YOL041C	NOP12	NOP12|854116	Q08208
YLL045C	RPL8B	RPL8B|850682	P29453
YER020W	GPA2	856741|GPA2	P10823
YKL104C	GFA1	853757|GFA1	P14742
tY(GUA)J1	SUP7	null	null
YLL006W-A	null	YLL006W-A|1466403	Q3E814
YIL133C	RPL16A	RPL16A|854673	P26784
snR50	null	null	null
YMR070W	MOT3	855092|MOT3	P54785
YHR085W	IPI1	856485|IPI1	P38803
YCL069W	VBA3	VBA3|850290	P25594
YDR518W	EUG1	852130|EUG1	P32474
YPL134C	ODC1	855969|ODC1	Q03028
YIR030W-A	null	null	null
YOR143C	THI80	THI80|854314	P35202
YOR245C	DGA1	854419|DGA1	Q08650
YAR064W	null	851294|YAR064W	P39563
YJL070C	null	YJL070C|853375	P40361
YOL141W	PPM2	PPM2|854024	Q08282
YOR340C	RPA43	854518|RPA43	P46669
YLR029C	RPL15A	RPL15A|850716	P05748
YEL066W	HPA3	856642|HPA3	P39979
YOR367W	SCP1	854549|SCP1	Q08873
YJL141C	YAK1	YAK1|853300	P14680
YIL082W	null	null	Q99219
YOR164C	GET4	854335|GET4	Q12125
YCR042C	TAF2	850409|TAF2	P23255
YBR170C	NPL4	852468|NPL4	P33755
YJL126W	NIT2	853316|NIT2	P47016
YER038C	KRE29	KRE29|856760	P40026
YPR164W	MMS1	856293|MMS1	Q06211
YBL098W	BNA4	BNA4|852179	P38169
YIR040C	null	null	P40584
YJL022W	null	null	P47066
YDR339C	FCF1	FCF1|851939	Q05498
YKL212W	SAC1	853668|SAC1	P32368
YNL014W	HEF3	855718|HEF3	P53978
YHR139C	SPS100	856541|SPS100	P13130
YER149C	PEA2	PEA2|856892	P40091
YOR366W	null	null	Q08872
YDL163W	null	null	Q12148
YPL031C	PHO85	856076|PHO85	P17157
YDR524C-B	null	1466438|YDR524C-B	Q3E6R4
YER135C	null	null	P40082
YJR047C	ANB1	ANB1|853506	P19211
YBR023C	CHS3	CHS3|852311	P29465
RUF23	null	null	null
YLR150W	STM1	STM1|850843	P39015
YFR051C	RET2	850612|RET2	P43621
YLL052C	AQY2	850674|AQY2	P0CD90
YBR199W	KTR4	KTR4|852498	P38131
YDR256C	CTA1	851843|CTA1	P15202
YKR049C	FMP46	FMP46|853923	P36141
YDL153C	SAS10	851403|SAS10	Q12136
YDL203C	ACK1	851324|ACK1	Q07622
YIL013C	PDR11	854802|PDR11	P40550
YHR175W-A	null	1466530|YHR175W-A	Q3E815
YOR076C	SKI7	SKI7|854243	Q08491
YPL195W	APL5	855906|APL5	Q08951
YAL024C	LTE1	851209|LTE1	P07866
YBL012C	null	null	P38209
YDR528W	HLR1	HLR1|852141	Q04429
YKL162C	null	YKL162C|853695	P36052
YBR244W	GPX2	GPX2|852546	P38143
YMR092C	AIP1	AIP1|855117	P46680
YPL095C	EEB1	856010|EEB1	Q02891
YNL316C	PHA2	PHA2|855400	P32452
YFL061W	DDI2	DDI3|DDI2|855381|850483	P0CH64|P0CH63
YFR029W	PTR3	PTR3|850587	P43606
YML008C	ERG6	855003|ERG6	P25087
YML057C-A	null	null	P0C261
YDL079C	MRK1	851480|MRK1	P50873
YML041C	VPS71	854966|VPS71	Q03433
YHL004W	MRP4	856384|MRP4	P32902
YGL027C	CWH41	852857|CWH41	P53008
YGR052W	FMP48	852943|FMP48	P53233
YKL083W	null	null	P36079
YHR144C	DCD1	DCD1|856548	P06773
snR39	null	null	null
YHR091C	MSR1	856491|MSR1	P38714
YDR186C	null	YDR186C|851767	Q04007
YBL048W	RRT1	null	P38192
snR190	null	null	null
YER181C	null	null	P40097
YLR038C	COX12	COX12|850727	Q01519
YLR046C	null	YLR046C|850735	Q12253
YCL017C	NFS1	NFS1|850343	P25374
YAR047C	null	null	P39557
YBR084W	MIS1	MIS1|852378	P09440
tK(UUU)L	null	null	null
YLR293C	GSP1	GSP1|851000	P32835
YJL173C	RFA3	RFA3|853266	P26755
YLR090W	XDJ1	850779|XDJ1	P39102
YLR131C	ACE2	ACE2|850822	P21192
tG(GCC)J1	null	null	null
YER098W	UBP9	UBP9|856835	P39967
YCL033C	MXR2	850324|MXR2	P25566
snR14	null	null	null
YBR095C	RXT2	RXT2|852392	P38255
YDR122W	KIN1	KIN1|851700	P13185
YDL183C	null	851345|YDL183C	P48569
YDR435C	PPM1	PPM1|852045	Q04081
YDR098C-B	null	851674|YDR098C-B	Q03855
YGR072W	UPF3	852963|UPF3	P48412
YGR161W-A	null	YFL002W-B|850547|853066|YGR161W-A	P0CX62|P0CX61
YGR006W	PRP18	852889|PRP18	P33411
YLR072W	null	YLR072W|850761	Q08001
YJL194W	CDC6	CDC6|853244	P09119
YIR037W	HYR1	HYR1|854855	P40581
YML009W-B	null	null	Q6B0Y1
YNR006W	VPS27	855739|VPS27	P40343
YJR071W	null	null	P47121
YDL060W	TSR1	851499|TSR1	Q07381
YLR334C	null	null	Q06127
YOR146W	null	null	Q08533
YDL022W	GPD1	851539|GPD1	Q00055
YOR161W-A	null	null	Q8TGL5
YPL145C	KES1	855958|KES1	P35844
YER068W	MOT2	MOT2|856799	P34909
YGR109W-B	null	853006|YGR109W-B	Q99315
YER076C	null	YER076C|856809	P40049
YOL136C	PFK27	PFK27|853984	Q12471
YNL054W-B	null	null	null
YNR041C	COQ2	COQ2|855778	P32378
YJL052W	TDH1	853395|TDH1	P00360
YIL157C	COA1	COA1|854649	P40452
YDR376W	ARH1	ARH1|851982	P48360
YKL224C	PAU16	853656|PAU16	P35994
YLR057W	MNL2	YLR057W|850746	Q12205
YHL012W	null	856374|YHL012W	P38709
YPL051W	ARL3	ARL3|856056	Q02804
YNL111C	CYB5	CYB5|855612	P40312
YDR452W	PPN1	PPN1|852063	Q04119
YIL035C	CKA1	CKA1|854776	P15790
YNR065C	null	855802|YNR065C	P53751
YNL216W	RAP1	855505|RAP1	P11938
YKL216W	URA1	URA1|853664	P28272
tV(AAC)G2	null	null	null
YFR017C	IGD1	YFR017C|850572	P43598
YMR164C	MSS11	MSS11|855200	Q03825
YLL028W	TPO1	850631|TPO1	Q07824
YPL148C	PPT2	855955|PPT2	Q12036
YBR226C	null	null	P38322
YJL142C	IRC9	null	P47010
snR82	null	null	null
YLR212C	TUB4	TUB4|850909	P53378
tA(AGC)F	null	null	null
YNL162W	RPL42A	855560|RPL42A|RPL42B|856544	P0CX28|P0CX27
YHL005C	null	null	P38752
YBR206W	null	null	P38309
YCL058C	FYV5	FYV5|850299	P25585
YDR252W	BTT1	BTT1|851839	P40314
YLR010C	TEN1	850696|TEN1	Q07921
YLR063W	null	850752|YLR063W	Q12291
YBR032W	null	null	P38223
YJR064W	CCT5	853527|CCT5	P40413
YOR316C	COT1	COT1|854494	P32798
YKL059C	MPE1	853806|MPE1	P35728
YOR355W	GDS1	854537|GDS1	P41913
YPL264C	null	YPL264C|855864	Q08980
YBR028C	YPK3	852316|YPK3	P38070
YFL053W	DAK2	850491|DAK2	P43550
YDR365C	ESF1	851969|ESF1	Q06344
YIL029W-A	null	null	null
YGL245W	GUS1	852606|GUS1	P46655
YNL254C	RTC4	RTC4|855467	P53850
YPL246C	RBD2	RBD2|855830	Q12270
YOR191W	ULS1	ULS1|854363	Q08562
YDR411C	DFM1	852020|DFM1	Q12743
YML068W	ITT1	854934|ITT1	Q04638
YEL029C	BUD16	856683|BUD16	P39988
YIL127C	RRT14	854679|RRT14	P40470
YCR012W	PGK1	PGK1|850370	P00560
YKL123W	null	null	P36071
YBL101C	ECM21	ECM21|852173	P38167
YHR106W	TRR2	856506|TRR2	P38816
YGR141W	VPS62	VPS62|853042	P53285
YDR092W	UBC13	851666|UBC13	P52490
YNL033W	null	YNL033W|855698	P53964
YFR035C	null	YFR035C|850595	P43608
YPL226W	NEW1	NEW1|855875	Q08972
tL(CAA)G1	null	null	null
tG(GCC)F1	SUF20	null	null
YLR264C-A	null	YLR264C-A|1466417	Q3E732
YNL321W	VNX1	855395|VNX1	P42839
YNR063W	null	855800|YNR063W	P53749
YGL151W	NUT1	NUT1|852726	P53114
YLR086W	SMC4	850775|SMC4	Q12267
YIL104C	SHQ1	854702|SHQ1	P40486
YOR124C	UBP2	854291|UBP2	Q01476
YGR117C	null	YGR117C|853014	P53270
YJL036W	SNX4	853416|SNX4	P47057
YOR150W	MRPL23	854321|MRPL23	Q12487
YPL280W	HSP32	855849|HSP32	Q08992
YMR155W	null	855187|YMR155W	Q03795
YKL048C	ELM1	ELM1|853818	P32801
YBR184W	null	YBR184W|852482	P38299
YLR159W	null	850851|YLR156W|YLR159W|850856|850858|1466412|YLR161W|YLR157W-D	P0CE99|P0CE98|P0CE97|P0CE96
YLR213C	CRR1	CRR1|850910	Q05790
YLR294C	null	null	O13543
YGL141W	HUL5	HUL5|852736	P53119
YIL093C	RSM25	RSM25|854715	P40496
YER185W	PUG1	856934|PUG1	P40100
YLR155C	ASP3-1	850850|850852|850855|850857|ASP3-1|ASP3-3|ASP3-2|ASP3-4	P0CX79|P0CX78|P0CX77|P0CZ17
YDR464C-A	null	null	Q8TGP5
YDL036C	PUS9	851525|PUS9	Q12069
tM(CAU)J3	IMT3	null	null
YGL183C	MND1	MND1|852692	P53102
YPL044C	null	null	O13520
YJR135C	MCM22	MCM22|853599	P47167
YBR221C	PDB1	852522|PDB1	P32473
YLR283W	null	850988|YLR283W	Q05867
YGR153W	null	YGR153W|853057	P48238
YDR293C	SSD1	851887|SSD1	P24276
YLR170C	APS1	APS1|850868	P35181
YPL200W	CSM4	855901|CSM4	Q08955
YGL093W	SPC105	852787|SPC105	P53148
YPL196W	OXR1	855905|OXR1	Q08952
YGL247W	BRR6	852645|BRR6	P53062
YHR054C	null	856451|YHR054C	P38780
YER085C	null	856818|YER085C	P40058
YER088C-A	null	null	null
YDR034C-C	null	851600|YDR034C-C	Q12392
YML071C	COG8	COG8|854904	Q04632
YPL151C	PRP46	PRP46|855952	Q12417
YDR527W	RBA50	852139|RBA50	Q04418
YNL313C	EMW1	EMW1|855403	P42842
YGL215W	CLG1	852657|CLG1	P35190
tF(GAA)H2	null	null	null
YNL001W	DOM34	DOM34|855731	P33309
snR46	null	null	null
YIL009C-A	EST3	854806|EST3	Q03096
YEL073C	null	856636|YEL073C	P39974
YER052C	HOM3	856778|HOM3	P10869
YOL106W	null	null	Q08241
YLR154W-F	null	null	P0C5Q0
YLR390W	ECM19	851106|ECM19	Q06011
YLR312W-A	MRPL15	MRPL15|851022	P36523
YCL057C-A	MOS1	850300|YCL057C-A	Q96VH5
YOR118W	RTC5	RTC5|854285	Q12108
tS(GCU)O	null	null	null
YDR101C	ARX1	851678|ARX1	Q03862
YLR075W	RPL10	850764|RPL10	P41805
YNL078W	NIS1	855646|NIS1	P53939
YDR074W	TPS2	851646|TPS2	P31688
YHL015W-A	null	YHL015W-A|1466525	Q3E7Z6
YPL070W	MUK1	MUK1|856035	Q02866
YDR194W-A	null	YDR194W-A|1466435	Q3E818
YPL011C	TAF3	856096|TAF3	Q12297
YBR006W	UGA2	852291|UGA2	P38067
YDL205C	HEM3	HEM3|851322	P28789
tK(CUU)G1	null	null	null
YDR454C	GUK1	GUK1|852065	P15454
YIR017W-A	null	null	Q03885
YER153C	PET122	PET122|856897	P10355
YCR028C-A	RIM1	850395|RIM1	P32445
YNL103W-A	null	null	Q8TGQ9
YOR289W	null	YOR289W|854463	Q12012
YJL125C	GCD14	853317|GCD14	P46959
YFR041C	ERJ5	850602|ERJ5	P43613
YIR001C	SGN1	SGN1|854817	P40561
YBR036C	CSG2	852324|CSG2	P35206
YOL142W	RRP40	RRP40|854023	Q08285
YIR021W	MRS1	854839|MRS1	P07266
YDR511W	ACN9	ACN9|852123	Q04401
tG(GCC)F2	null	null	null
YOR255W	OSW1	854429|OSW1	Q08692
tM(CAU)Q2	null	null	null
YDL136W	RPL35B	851336|RPL35A|851419|RPL35B	P0CX85|P0CX84
tV(AAC)K1	null	null	null
YJL056C	ZAP1	ZAP1|853390	P47043
YLR381W	CTF3	CTF3|851097	Q12748
YOR193W	PEX27	PEX27|854368	Q08580
YOL120C	RPL18A	854029|855415|RPL18A|RPL18B	P0CX50|P0CX49
YJR135W-A	TIM8	853600|TIM8	P57744
YKL196C	YKT6	853638|YKT6	P36015
YNR075W	COS10	855812|COS10	P52924
YLR190W	MMR1	850887|MMR1	Q06324
YER107W-A	null	null	null
tA(AGC)M1	null	null	null
tK(CUU)D2	null	null	null
YAL061W	BDH2	851238|BDH2	P39713
YKR106W	GEX2	YKR106W|853981	P36173
YGL074C	null	null	P53160
YPL203W	TPK2	TPK2|855898	P06245
YNR010W	CSE2	CSE2|855744	P33308
YBR224W	null	null	P38320
YFL033C	RIM15	850511|RIM15	P43565
YPR042C	PUF2	PUF2|856155	Q12221
YNL326C	PFA3	855390|PFA3	P42836
YGR213C	RTA1	853127|RTA1	P53047
YDR079C-A	TFB5	TFB5|851652	Q3E7C1
YHR131C	null	YHR131C|856532	P38835
YOR139C	null	null	Q08532
tS(UGA)Q2	null	null	null
tM(CAU)J1	EMT5	null	null
YER154W	OXA1	OXA1|856898	P39952
YER039C	HVG1	856761|HVG1	P0CE11
YLR295C	ATP14	ATP14|851002	Q12349
YNL023C	FAP1	855708|FAP1	P53971
YGL063C-A	null	null	Q8TGP0
YBR136W	MEC1	MEC1|852433	P38111
YER088W-B	null	null	Q8TGR4
YER171W	RAD3	856918|RAD3	P06839
YMR220W	ERG8	855260|ERG8	P24521
tR(ACG)Q2	null	null	null
YBR169C	SSE2	852467|SSE2	P32590
YAL049C	AIM2	AIM2|851248	P39721
YBL086C	null	852192|YBL086C	P38177
YLL046C	RNP1	850680|RNP1	P32385
YNL242W	ATG2	ATG2|855479	P53855
YJL121C	RPE1	RPE1|853322	P46969
YLR379W	null	null	O13579
YKL075C	null	853787|YKL075C	P36083
YOR281C	PLP2	PLP2|854456	Q12017
RDN18-2	null	null	null
YLR165C	PUS5	850862|PUS5	Q06244
tG(GCC)G2	null	null	null
YKL019W	RAM2	RAM2|853849	P29703
YJR067C	YAE1	YAE1|853530	P47118
YDR393W	SHE9	852002|SHE9	Q04172
tD(GUC)J1	null	null	null
YHR007C	ERG11	ERG11|856398	P10614
YNL043C	null	null	P53957
YDR207C	UME6	851788|UME6	P39001
YHR167W	THP2	THP2|856572	O13539
YHR195W	NVJ1	NVJ1|856602	P38881
YNL234W	null	YNL234W|855487	P53857
YPR026W	ATH1	ATH1|856137	P48016
YNL209W	SSB2	SSB2|855512	P40150
YLR081W	GAL2	GAL2|850770	P13181
YER044C	ERG28	ERG28|856767	P40030
YIR020W-A	null	null	Q03886
YJL185C	null	YJL185C|853254	P46983
YKL079W	SMY1	SMY1|853783	P32364
YDL227C	HO	HO|851371	P09932
YPL121C	MEI5	MEI5|855982	P32489
YFL058W	THI5	THI5|850486	P43534
YHR027C	RPN1	RPN1|856422	P38764
YKL207W	AIM27	853628|AIM27	P36039
YOR054C	VHS3	VHS3|854220	Q08438
YGR255C	COQ6	853170|COQ6	P53318
tW(CCA)G1	null	null	null
YOR234C	RPL33B	854409|RPL33B	P41056
